# emoji-sequences.txt
# Date: 2024-05-01, 21:25:24 GMT
# © 2024 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Emoji Sequence Data for UTS #51
# Version: 16.0
#
# For documentation and usage, see https://www.unicode.org/reports/tr51
#
# Format:
#   code_point(s) ; type_field ; description # comments
# Fields:
#   code_point(s): one or more code points in hex format, separated by spaces
#   type_field, one of the following:
#       Basic_Emoji
#       Emoji_Keycap_Sequence
#       RGI_Emoji_Flag_Sequence
#       RGI_Emoji_Tag_Sequence
#       RGI_Emoji_Modifier_Sequence
#     The type_field is a convenience for parsing the emoji sequence files, and is not intended to be maintained as a property.
#   short name: CLDR short name of sequence; characters may be escaped with \x{hex}.
#
# For the purpose of regular expressions, each of the type fields defines the name of
# a binary property of strings. The short name of each property is the same as the long name.
#
# For the purpose of regular expressions, the property RGI_Emoji is defined as
# a binary property of strings corresponding to ED-27 in UTS #51 Unicode Emoji.
# That is, it is the union of the above properties plus RGI_Emoji_ZWJ_Sequence,
# whose data is in emoji-zwj-sequences.txt.
# The short name of RGI_Emoji is the same as the long name.
#
# Characters and sequences are listed in code point order. Users should be shown a more natural order.
# See the CLDR collation order for Emoji.

# ================================================

# Basic_Emoji

231A..231B    ; Basic_Emoji                  ; watch..hourglass done                                          # E0.6   [2] (⌚..⌛)
1F1F8 1F1FD   ; RGI_Emoji_Flag_Sequence      ; flag: Sint Maarten                                             # E2.0   [1] (🇸🇽)
1F1F8 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Syria                                                    # E2.0   [1] (🇸🇾)
1F1F8 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Eswatini                                                 # E2.0   [1] (🇸🇿)
1F1F9 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Tristan da Cunha                                         # E2.0   [1] (🇹🇦)
1F1F9 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: Turks & Caicos Islands                                   # E2.0   [1] (🇹🇨)
1F1F9 1F1E9   ; RGI_Emoji_Flag_Sequence      ; flag: Chad                                                     # E2.0   [1] (🇹🇩)
1F1F9 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: French Southern Territories                              # E2.0   [1] (🇹🇫)
1F1F9 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Togo                                                     # E2.0   [1] (🇹🇬)
1F1F9 1F1ED   ; RGI_Emoji_Flag_Sequence      ; flag: Thailand                                                 # E2.0   [1] (🇹🇭)
1F1F9 1F1EF   ; RGI_Emoji_Flag_Sequence      ; flag: Tajikistan                                               # E2.0   [1] (🇹🇯)
1F1F9 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Tokelau                                                  # E2.0   [1] (🇹🇰)
1F1F9 1F1F1   ; RGI_Emoji_Flag_Sequence      ; flag: Timor-Leste                                              # E2.0   [1] (🇹🇱)
1F1F9 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Turkmenistan                                             # E2.0   [1] (🇹🇲)
1F1F9 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: Tunisia                                                  # E2.0   [1] (🇹🇳)
1F1F9 1F1F4   ; RGI_Emoji_Flag_Sequence      ; flag: Tonga                                                    # E2.0   [1] (🇹🇴)
1F1F9 1F1F7   ; RGI_Emoji_Flag_Sequence      ; flag: Türkiye                                                  # E2.0   [1] (🇹🇷)
1F1F9 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Trinidad & Tobago                                        # E2.0   [1] (🇹🇹)
1F1F9 1F1FB   ; RGI_Emoji_Flag_Sequence      ; flag: Tuvalu                                                   # E2.0   [1] (🇹🇻)
1F1F9 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Taiwan                                                   # E2.0   [1] (🇹🇼)
1F1F9 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Tanzania                                                 # E2.0   [1] (🇹🇿)
1F1FA 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Ukraine                                                  # E2.0   [1] (🇺🇦)
1F1FA 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: Uganda                                                   # E2.0   [1] (🇺🇬)
1F1FA 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: U.S. Outlying Islands                                    # E2.0   [1] (🇺🇲)
1F1FA 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: United Nations                                           # E4.0   [1] (🇺🇳)
1F1FA 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: United States                                            # E0.6   [1] (🇺🇸)
1F1FA 1F1FE   ; RGI_Emoji_Flag_Sequence      ; flag: Uruguay                                                  # E2.0   [1] (🇺🇾)
1F1FA 1F1FF   ; RGI_Emoji_Flag_Sequence      ; flag: Uzbekistan                                               # E2.0   [1] (🇺🇿)
1F1FB 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: Vatican City                                             # E2.0   [1] (🇻🇦)
1F1FB 1F1E8   ; RGI_Emoji_Flag_Sequence      ; flag: St. Vincent & Grenadines                                 # E2.0   [1] (🇻🇨)
1F1FB 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Venezuela                                                # E2.0   [1] (🇻🇪)
1F1FB 1F1EC   ; RGI_Emoji_Flag_Sequence      ; flag: British Virgin Islands                                   # E2.0   [1] (🇻🇬)
1F1FB 1F1EE   ; RGI_Emoji_Flag_Sequence      ; flag: U.S. Virgin Islands                                      # E2.0   [1] (🇻🇮)
1F1FB 1F1F3   ; RGI_Emoji_Flag_Sequence      ; flag: Vietnam                                                  # E2.0   [1] (🇻🇳)
1F1FB 1F1FA   ; RGI_Emoji_Flag_Sequence      ; flag: Vanuatu                                                  # E2.0   [1] (🇻🇺)
1F1FC 1F1EB   ; RGI_Emoji_Flag_Sequence      ; flag: Wallis & Futuna                                          # E2.0   [1] (🇼🇫)
1F1FC 1F1F8   ; RGI_Emoji_Flag_Sequence      ; flag: Samoa                                                    # E2.0   [1] (🇼🇸)
1F1FD 1F1F0   ; RGI_Emoji_Flag_Sequence      ; flag: Kosovo                                                   # E2.0   [1] (🇽🇰)
1F1FE 1F1EA   ; RGI_Emoji_Flag_Sequence      ; flag: Yemen                                                    # E2.0   [1] (🇾🇪)
1F1FE 1F1F9   ; RGI_Emoji_Flag_Sequence      ; flag: Mayotte                                                  # E2.0   [1] (🇾🇹)
1F1FF 1F1E6   ; RGI_Emoji_Flag_Sequence      ; flag: South Africa                                             # E2.0   [1] (🇿🇦)
1F1FF 1F1F2   ; RGI_Emoji_Flag_Sequence      ; flag: Zambia                                                   # E2.0   [1] (🇿🇲)
1F1FF 1F1FC   ; RGI_Emoji_Flag_Sequence      ; flag: Zimbabwe                                                 # E2.0   [1] (🇿🇼)

# Total elements: 259

# ================================================

# RGI_Emoji_Tag_Sequence: See Annex C of UTS #51 for more information.

1F3F4 E0067 E0062 E0065 E006E E0067 E007F; RGI_Emoji_Tag_Sequence; flag: England                              # E5.0   [1] (🏴󠁧󠁢󠁥󠁮󠁧󠁿)
1F3F4 E0067 E0062 E0073 E0063 E0074 E007F; RGI_Emoji_Tag_Sequence; flag: Scotland                             # E5.0   [1] (🏴󠁧󠁢󠁳󠁣󠁴󠁿)
1F3F4 E0067 E0062 E0077 E006C E0073 E007F; RGI_Emoji_Tag_Sequence; flag: Wales                                # E5.0   [1] (🏴󠁧󠁢󠁷󠁬󠁳󠁿)

# Total elements: 3

# ================================================

# RGI_Emoji_Modifier_Sequence

261D 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: light skin tone                             # E1.0   [1] (☝🏻)
261D 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: medium-light skin tone                      # E1.0   [1] (☝🏼)
261D 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: medium skin tone                            # E1.0   [1] (☝🏽)
261D 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: medium-dark skin tone                       # E1.0   [1] (☝🏾)
261D 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; index pointing up: dark skin tone                              # E1.0   [1] (☝🏿)
26F9 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: light skin tone                          # E2.0   [1] (⛹🏻)
26F9 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: medium-light skin tone                   # E2.0   [1] (⛹🏼)
26F9 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: medium skin tone                         # E2.0   [1] (⛹🏽)
26F9 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: medium-dark skin tone                    # E2.0   [1] (⛹🏾)
26F9 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; person bouncing ball: dark skin tone                           # E2.0   [1] (⛹🏿)
270A 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; raised fist: light skin tone                                   # E1.0   [1] (✊🏻)
270A 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; raised fist: medium-light skin tone                            # E1.0   [1] (✊🏼)
270A 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; raised fist: medium skin tone                                  # E1.0   [1] (✊🏽)
270A 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; raised fist: medium-dark skin tone                             # E1.0   [1] (✊🏾)
270A 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; raised fist: dark skin tone                                    # E1.0   [1] (✊🏿)
270B 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; raised hand: light skin tone                                   # E1.0   [1] (✋🏻)
270B 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; raised hand: medium-light skin tone                            # E1.0   [1] (✋🏼)
270B 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; raised hand: medium skin tone                                  # E1.0   [1] (✋🏽)
270B 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; raised hand: medium-dark skin tone                             # E1.0   [1] (✋🏾)
270B 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; raised hand: dark skin tone                                    # E1.0   [1] (✋🏿)
270C 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; victory hand: light skin tone                                  # E1.0   [1] (✌🏻)
270C 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; victory hand: medium-light skin tone                           # E1.0   [1] (✌🏼)
270C 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; victory hand: medium skin tone                                 # E1.0   [1] (✌🏽)
270C 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; victory hand: medium-dark skin tone                            # E1.0   [1] (✌🏾)
270C 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; victory hand: dark skin tone                                   # E1.0   [1] (✌🏿)
270D 1F3FB    ; RGI_Emoji_Modifier_Sequence  ; writing hand: light skin tone                                  # E1.0   [1] (✍🏻)
270D 1F3FC    ; RGI_Emoji_Modifier_Sequence  ; writing hand: medium-light skin tone                           # E1.0   [1] (✍🏼)
270D 1F3FD    ; RGI_Emoji_Modifier_Sequence  ; writing hand: medium skin tone                                 # E1.0   [1] (✍🏽)
270D 1F3FE    ; RGI_Emoji_Modifier_Sequence  ; writing hand: medium-dark skin tone                            # E1.0   [1] (✍🏾)
270D 1F3FF    ; RGI_Emoji_Modifier_Sequence  ; writing hand: dark skin tone                                   # E1.0   [1] (✍🏿)
1F385 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: light skin tone                                   # E1.0   [1] (🎅🏻)
1F385 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: medium-light skin tone                            # E1.0   [1] (🎅🏼)
1F385 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: medium skin tone                                  # E1.0   [1] (🎅🏽)
1F385 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: medium-dark skin tone                             # E1.0   [1] (🎅🏾)
1F385 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; Santa Claus: dark skin tone                                    # E1.0   [1] (🎅🏿)
1F3C2 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: light skin tone                                   # E1.0   [1] (🏂🏻)
1F3C2 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: medium-light skin tone                            # E1.0   [1] (🏂🏼)
1F3C2 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: medium skin tone                                  # E1.0   [1] (🏂🏽)
1F3C2 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: medium-dark skin tone                             # E1.0   [1] (🏂🏾)
1F3C2 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; snowboarder: dark skin tone                                    # E1.0   [1] (🏂🏿)
1F3C3 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person running: light skin tone                                # E1.0   [1] (🏃🏻)
1F3C3 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person running: medium-light skin tone                         # E1.0   [1] (🏃🏼)
1F3C3 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person running: medium skin tone                               # E1.0   [1] (🏃🏽)
1F3C3 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person running: medium-dark skin tone                          # E1.0   [1] (🏃🏾)
1F3C3 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person running: dark skin tone                                 # E1.0   [1] (🏃🏿)
1F3C4 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person surfing: light skin tone                                # E1.0   [1] (🏄🏻)
1F3C4 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person surfing: medium-light skin tone                         # E1.0   [1] (🏄🏼)
1F3C4 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person surfing: medium skin tone                               # E1.0   [1] (🏄🏽)
1F3C4 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person surfing: medium-dark skin tone                          # E1.0   [1] (🏄🏾)
1F3C4 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person surfing: dark skin tone                                 # E1.0   [1] (🏄🏿)
1F3C7 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; horse racing: light skin tone                                  # E1.0   [1] (🏇🏻)
1F3C7 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; horse racing: medium-light skin tone                           # E1.0   [1] (🏇🏼)
1F3C7 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; horse racing: medium skin tone                                 # E1.0   [1] (🏇🏽)
1F3C7 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; horse racing: medium-dark skin tone                            # E1.0   [1] (🏇🏾)
1F3C7 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; horse racing: dark skin tone                                   # E1.0   [1] (🏇🏿)
1F3CA 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person swimming: light skin tone                               # E1.0   [1] (🏊🏻)
1F3CA 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person swimming: medium-light skin tone                        # E1.0   [1] (🏊🏼)
1F3CA 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person swimming: medium skin tone                              # E1.0   [1] (🏊🏽)
1F3CA 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person swimming: medium-dark skin tone                         # E1.0   [1] (🏊🏾)
1F3CA 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person swimming: dark skin tone                                # E1.0   [1] (🏊🏿)
1F3CB 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: light skin tone                        # E2.0   [1] (🏋🏻)
1F3CB 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: medium-light skin tone                 # E2.0   [1] (🏋🏼)
1F3CB 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: medium skin tone                       # E2.0   [1] (🏋🏽)
1F3CB 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: medium-dark skin tone                  # E2.0   [1] (🏋🏾)
1F3CB 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person lifting weights: dark skin tone                         # E2.0   [1] (🏋🏿)
1F3CC 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; person golfing: light skin tone                                # E4.0   [1] (🏌🏻)
1F3CC 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; person golfing: medium-light skin tone                         # E4.0   [1] (🏌🏼)
1F3CC 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; person golfing: medium skin tone                               # E4.0   [1] (🏌🏽)
1F3CC 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; person golfing: medium-dark skin tone                          # E4.0   [1] (🏌🏾)
1F3CC 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; person golfing: dark skin tone                                 # E4.0   [1] (🏌🏿)
1F442 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; ear: light skin tone                                           # E1.0   [1] (👂🏻)
1F442 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; ear: medium-light skin tone                                    # E1.0   [1] (👂🏼)
1F442 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; ear: medium skin tone                                          # E1.0   [1] (👂🏽)
1F442 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; ear: medium-dark skin tone                                     # E1.0   [1] (👂🏾)
1F442 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; ear: dark skin tone                                            # E1.0   [1] (👂🏿)
1F443 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; nose: light skin tone                                          # E1.0   [1] (👃🏻)
1F443 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; nose: medium-light skin tone                                   # E1.0   [1] (👃🏼)
1F443 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; nose: medium skin tone                                         # E1.0   [1] (👃🏽)
1F443 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; nose: medium-dark skin tone                                    # E1.0   [1] (👃🏾)
1F443 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; nose: dark skin tone                                           # E1.0   [1] (👃🏿)
1F446 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: light skin tone                    # E1.0   [1] (👆🏻)
1F446 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: medium-light skin tone             # E1.0   [1] (👆🏼)
1F446 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: medium skin tone                   # E1.0   [1] (👆🏽)
1F446 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: medium-dark skin tone              # E1.0   [1] (👆🏾)
1F446 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing up: dark skin tone                     # E1.0   [1] (👆🏿)
1F447 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: light skin tone                  # E1.0   [1] (👇🏻)
1F447 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: medium-light skin tone           # E1.0   [1] (👇🏼)
1F447 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: medium skin tone                 # E1.0   [1] (👇🏽)
1F447 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: medium-dark skin tone            # E1.0   [1] (👇🏾)
1F447 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing down: dark skin tone                   # E1.0   [1] (👇🏿)
1F448 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: light skin tone                  # E1.0   [1] (👈🏻)
1F448 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: medium-light skin tone           # E1.0   [1] (👈🏼)
1F448 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: medium skin tone                 # E1.0   [1] (👈🏽)
1F448 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: medium-dark skin tone            # E1.0   [1] (👈🏾)
1F448 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing left: dark skin tone                   # E1.0   [1] (👈🏿)
1F449 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: light skin tone                 # E1.0   [1] (👉🏻)
1F449 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: medium-light skin tone          # E1.0   [1] (👉🏼)
1F449 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: medium skin tone                # E1.0   [1] (👉🏽)
1F449 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: medium-dark skin tone           # E1.0   [1] (👉🏾)
1F449 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; backhand index pointing right: dark skin tone                  # E1.0   [1] (👉🏿)
1F44A 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: light skin tone                                 # E1.0   [1] (👊🏻)
1F44A 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: medium-light skin tone                          # E1.0   [1] (👊🏼)
1F44A 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: medium skin tone                                # E1.0   [1] (👊🏽)
1F44A 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: medium-dark skin tone                           # E1.0   [1] (👊🏾)
1F44A 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; oncoming fist: dark skin tone                                  # E1.0   [1] (👊🏿)
1F44B 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; waving hand: light skin tone                                   # E1.0   [1] (👋🏻)
1F44B 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; waving hand: medium-light skin tone                            # E1.0   [1] (👋🏼)
1F44B 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; waving hand: medium skin tone                                  # E1.0   [1] (👋🏽)
1F44B 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; waving hand: medium-dark skin tone                             # E1.0   [1] (👋🏾)
1F44B 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; waving hand: dark skin tone                                    # E1.0   [1] (👋🏿)
1F44C 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; OK hand: light skin tone                                       # E1.0   [1] (👌🏻)
1F44C 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; OK hand: medium-light skin tone                                # E1.0   [1] (👌🏼)
1F44C 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; OK hand: medium skin tone                                      # E1.0   [1] (👌🏽)
1F44C 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; OK hand: medium-dark skin tone                                 # E1.0   [1] (👌🏾)
1F44C 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; OK hand: dark skin tone                                        # E1.0   [1] (👌🏿)
1F44D 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: light skin tone                                     # E1.0   [1] (👍🏻)
1F44D 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: medium-light skin tone                              # E1.0   [1] (👍🏼)
1F44D 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: medium skin tone                                    # E1.0   [1] (👍🏽)
1F44D 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: medium-dark skin tone                               # E1.0   [1] (👍🏾)
1F44D 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; thumbs up: dark skin tone                                      # E1.0   [1] (👍🏿)
1F44E 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: light skin tone                                   # E1.0   [1] (👎🏻)
1F44E 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: medium-light skin tone                            # E1.0   [1] (👎🏼)
1F44E 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: medium skin tone                                  # E1.0   [1] (👎🏽)
1F44E 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: medium-dark skin tone                             # E1.0   [1] (👎🏾)
1F44E 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; thumbs down: dark skin tone                                    # E1.0   [1] (👎🏿)
1F44F 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: light skin tone                                # E1.0   [1] (👏🏻)
1F44F 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: medium-light skin tone                         # E1.0   [1] (👏🏼)
1F44F 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: medium skin tone                               # E1.0   [1] (👏🏽)
1F44F 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: medium-dark skin tone                          # E1.0   [1] (👏🏾)
1F44F 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; clapping hands: dark skin tone                                 # E1.0   [1] (👏🏿)
1F450 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; open hands: light skin tone                                    # E1.0   [1] (👐🏻)
1F450 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; open hands: medium-light skin tone                             # E1.0   [1] (👐🏼)
1F450 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; open hands: medium skin tone                                   # E1.0   [1] (👐🏽)
1F450 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; open hands: medium-dark skin tone                              # E1.0   [1] (👐🏾)
1F450 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; open hands: dark skin tone                                     # E1.0   [1] (👐🏿)
1F466 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; boy: light skin tone                                           # E1.0   [1] (👦🏻)
1F466 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; boy: medium-light skin tone                                    # E1.0   [1] (👦🏼)
1F466 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; boy: medium skin tone                                          # E1.0   [1] (👦🏽)
1F466 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; boy: medium-dark skin tone                                     # E1.0   [1] (👦🏾)
1F466 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; boy: dark skin tone                                            # E1.0   [1] (👦🏿)
1F467 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; girl: light skin tone                                          # E1.0   [1] (👧🏻)
1F467 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; girl: medium-light skin tone                                   # E1.0   [1] (👧🏼)
1F467 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; girl: medium skin tone                                         # E1.0   [1] (👧🏽)
1F467 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; girl: medium-dark skin tone                                    # E1.0   [1] (👧🏾)
1F467 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; girl: dark skin tone                                           # E1.0   [1] (👧🏿)
1F468 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; man: light skin tone                                           # E1.0   [1] (👨🏻)
1F468 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; man: medium-light skin tone                                    # E1.0   [1] (👨🏼)
1F468 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; man: medium skin tone                                          # E1.0   [1] (👨🏽)
1F468 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; man: medium-dark skin tone                                     # E1.0   [1] (👨🏾)
1F468 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; man: dark skin tone                                            # E1.0   [1] (👨🏿)
1F469 1F3FB   ; RGI_Emoji_Modifier_Sequence  ; woman: light skin tone                                         # E1.0   [1] (👩🏻)
1F469 1F3FC   ; RGI_Emoji_Modifier_Sequence  ; woman: medium-light skin tone                                  # E1.0   [1] (👩🏼)
1F469 1F3FD   ; RGI_Emoji_Modifier_Sequence  ; woman: medium skin tone                                        # E1.0   [1] (👩🏽)
1F469 1F3FE   ; RGI_Emoji_Modifier_Sequence  ; woman: medium-dark skin tone                                   # E1.0   [1] (👩🏾)
1F469 1F3FF   ; RGI_Emoji_Modifier_Sequence  ; woman: dark skin tone                                          # E1.0   [1] (👩🏿)
